Complex ID,remote,GTFS Stop ID,Division,Stop Name,Borough,GTFS Latitude,GTFS Longitude
1,R095,R01,BMT,Astoria-Ditmars Blvd,Q,40.775,-73.912
2,R094,R03,BMT,Astoria Blvd,Q,40.77,-73.918
3,R093,R04,BMT,30 Av,Q,40.767,-73.921
4,R092,R05,BMT,Broadway,Q,40.762,-73.926
5,R091,R06,BMT,36 Av,Q,40.757,-73.93
6,R090,R08,BMT,39 Av-Dutch Kills,Q,40.753,-73.933
8,R079,R13,BMT,5 Av/59 St,M,40.765,-73.973
9,R080,R14,BMT,57 St-7 Av,M,40.765,-73.981
10,R081,R15,BMT,49 St,M,40.76,-73.984
13,R082,R18,BMT,28 St,M,40.745,-73.989
14,R083,R19,BMT,23 St,M,40.741,-73.989
16,R085,R21,BMT,8 St-NYU,M,40.73,-73.993
17,R086,R22,BMT,Prince St,M,40.724,-73.998
20,R087,R24,BMT,City Hall,M,40.713,-74.007
22,R227,R26,BMT,Rector St,M,40.707,-74.013
26,R099,R30,BMT,DeKalb Av,Bk,40.691,-73.982
28,R231,R32,BMT,Union St,Bk,40.677,-73.983
30,R246,R34,BMT,Prospect Av,Bk,40.665,-73.993
31,R278,R35,BMT,25 St,Bk,40.66,-73.998
32,R197,R36,BMT,36 St,Bk,40.655,-74.004
33,R232,R39,BMT,45 St,Bk,40.649,-74.01
34,R233,R40,BMT,53 St,Bk,40.645,-74.014
35,R212,R41,BMT,59 St,Bk,40.641,-74.018
36,R213,R42,BMT,Bay Ridge Av,Bk,40.635,-74.023
37,R214,R43,BMT,77 St,Bk,40.63,-74.026
38,R215,R44,BMT,86 St,Bk,40.623,-74.028
39,R216,R45,BMT,Bay Ridge-95 St,Bk,40.617,-74.031
41,R171,D25,BMT,7 Av,Bk,40.677,-73.972
42,R196,D26,BMT,Prospect Park,Bk,40.662,-73.962
43,R148,D27,BMT,Parkside Av,Bk,40.655,-73.961
44,R098,D28,BMT,Church Av,Bk,40.651,-73.963
45,R262,D29,BMT,Beverley Rd,Bk,40.644,-73.964
46,R184,D30,BMT,Cortelyou Rd,Bk,40.641,-73.964
47,R149,D31,BMT,Newkirk Plaza,Bk,40.635,-73.963
48,R263,D32,BMT,Avenue H,Bk,40.629,-73.962
49,R228,D33,BMT,Avenue J,Bk,40.625,-73.961
50,R229,D34,BMT,Avenue M,Bk,40.618,-73.959
51,R211,D35,BMT,Kings Hwy,Bk,40.609,-73.958
52,R150,D37,BMT,Avenue U,Bk,40.599,-73.956
53,R230,D38,BMT,Neck Rd,Bk,40.595,-73.955
54,R136,D39,BMT,Sheepshead Bay,Bk,40.587,-73.954
55,R172,D40,BMT,Brighton Beach,Bk,40.578,-73.961
56,R264,D41,BMT,Ocean Pkwy,Bk,40.576,-73.969
57,R312,D42,BMT,W 8 St-NY Aquarium,Bk,40.576,-73.976
58,R151,D43,BMT,Coney Island-Stillwell Av,Bk,40.577,-73.981
59,R368,B12,BMT,9 Av,Bk,40.646,-73.994
